18192	29.9771950000	1.0694170000
18256	30.4766990000	1.0903505000
18320	30.7200580000	1.2056840000
18384	31.1370480000	1.0702065000
18448	32.2617790000	1.0595135000
18512	32.0933080000	1.0716785000
18576	35.1038375000	1.1279140000
18640	35.8217915000	1.1946385000
18704	36.0662155000	1.1242450000
18768	35.0392770000	1.1491160000
18832	35.2814920000	1.1213855000
18896	35.3385025000	1.1319055000
18960	35.1217325000	1.1531580000
19024	37.2334025000	1.2180800000
19088	39.3786135000	1.2225615000
19152	39.3168170000	1.2180155000
19216	40.3932190000	1.3992265000
